시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
인천,보건지소,6,-,-,-,1,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
인천,한방병원,35,2,-,-,8,5,3,1,1,3,3,2,-,-,-,1,1,-,-,-,-,1,-,4,-,-,-
대구,계,"5,406","1,092",143,210,403,380,192,53,139,299,337,364,251,232,137,166,214,22,59,52,1,133,22,372,95,20,18
대구,상급종합병원,"1,084",284,39,26,98,41,39,30,21,51,43,70,42,27,14,27,52,19,29,23,-,16,16,22,38,5,12
대구,종합병원,556,114,25,6,71,47,29,6,8,35,19,18,12,11,5,11,49,1,4,14,-,9,1,19,42,-,-
대구,병원,699,95,13,5,38,104,58,2,4,68,81,65,33,2,1,4,39,-,1,1,-,57,1,19,3,5,-
대구,요양병원,225,36,10,-,43,9,10,3,-,4,14,9,1,1,-,1,-,-,-,-,1,21,1,59,2,-,-
대구,정신병원,80,6,-,64,-,1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,2,-,4,-,-,-
대구,의원,"2,716",553,56,109,151,176,55,11,106,136,172,192,163,191,117,121,72,-,25,13,-,27,2,244,9,10,5
대구,치과병원,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,보건소,20,2,-,-,-,1,-,-,-,-,6,7,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1
대구,보건지소,4,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,한방병원,20,2,-,-,2,1,-,1,-,2,-,1,-,-,-,1,2,1,-,-,-,1,-,5,1,-,-
광주,계,"3,267",662,75,118,228,242,121,32,49,199,209,238,111,147,89,92,130,3,25,42,-,87,8,240,101,13,6
광주,상급종합병원,436,120,21,14,33,21,20,6,9,19,13,28,13,13,9,9,21,3,11,10,-,6,6,3,24,2,2
광주,종합병원,690,171,22,7,55,84,43,11,-,42,20,30,3,8,1,18,46,-,3,22,-,18,2,15,66,1,2
광주,병원,508,58,7,6,21,63,28,3,-,52,72,94,15,9,-,1,34,-,-,1,-,22,-,21,1,-,-
광주,요양병원,204,49,4,1,38,7,4,2,1,9,18,5,1,3,1,1,-,-,-,-,-,16,-,42,2,-,-
광주,정신병원,35,1,-,32,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
광주,의원,"1,328",260,21,58,75,62,25,8,37,71,81,69,79,112,78,60,27,-,11,9,-,24,-,141,8,10,2
광주,보건소,8,2,-,-,-,1,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
광주,한방병원,58,1,-,-,5,4,-,2,2,6,5,9,-,2,-,3,2,-,-,-,-,1,-,16,-,-,-
대전,계,"3,111",600,88,141,195,232,99,48,58,159,183,217,124,131,78,83,146,10,33,34,2,115,6,240,55,28,6
대전,상급종합병원,450,108,19,12,36,19,15,17,8,27,14,35,18,13,7,10,28,6,11,8,-,10,3,10,15,-,1
대전,종합병원,569,128,26,12,41,44,25,8,4,32,25,16,7,16,5,17,44,4,10,10,-,16,2,35,31,11,-
대전,병원,417,32,13,2,14,71,33,2,4,36,36,63,16,3,7,1,29,-,-,1,-,31,1,16,4,1,1
대전,요양병원,150,26,7,-,19,12,10,2,1,3,16,9,-,3,-,-,-,-,-,1,-,17,-,22,2,-,-
대전,정신병원,21,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,의원,"1,484",306,23,94,84,84,14,19,41,60,89,92,83,96,59,54,44,-,12,14,2,40,-,151,3,16,4
대전,보건소,7,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
대전,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
대전,한방병원,12,-,-,-,1,2,2,-,-,-,1,1,-,-,-,1,1,-,-,-,-,1,-,2,-,-,-
울산,계,"1,641",310,32,66,116,121,58,24,34,82,114,120,67,70,32,50,77,4,10,14,-,37,3,115,44,35,6
울산,상급종합병원,238,63,10,5,21,6,9,8,3,8,6,12,8,6,2,7,18,2,7,5,-,3,2,9,8,7,3
울산,종합병원,316,86,10,4,17,39,19,2,3,16,7,14,1,3,1,5,33,-,2,7,-,3,-,7,29,8,-
울산,병원,210,25,4,-,12,21,9,1,9,12,33,29,4,8,1,2,14,-,-,-,-,11,-,12,-,2,1
울산,요양병원,101,16,1,1,19,1,7,-,4,6,13,9,3,-,-,1,-,-,-,1,-,7,-,10,2,-,-
울산,정신병원,28,2,-,25,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,의원,737,117,7,31,45,54,13,13,14,39,54,55,51,53,28,35,11,1,1,1,-,13,1,76,4,18,2
울산,보건소,4,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
울산,보건지소,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,한방병원,5,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
경기,계,"21,959","4,217",490,901,"1,399","1,791",730,229,250,"1,185","1,423","1,691",776,"1,088",549,580,908,63,209,229,15,627,49,"1,739",651,136,34
경기,상급종합병원,"1,913",448,81,49,163,94,68,44,31,108,66,120,60,46,27,39,162,23,48,36,-,29,17,59,81,7,7
경기,종합병원,"4,927","1,169",192,96,379,314,220,92,53,287,203,215,81,100,43,109,357,32,80,102,-,93,28,168,441,66,7
경기,병원,"2,354",297,57,37,98,500,198,8,14,169,249,173,40,16,3,8,198,1,-,4,1,133,1,96,32,20,1
경기,요양병원,950,185,66,12,126,31,32,13,8,14,68,32,2,6,-,11,3,2,-,1,1,167,-,162,5,2,1
경기,정신병원,210,7,-,198,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
경기,의원,"11,371","2,094",92,505,602,818,207,69,139,594,807,"1,114",593,915,474,406,180,5,81,85,13,196,3,"1,230",91,40,18
경기,치과병원,5,2,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경기,보건소,69,8,-,-,4,2,-,1,-,3,14,23,-,2,-,3,1,-,-,1,-,-,-,6,-,1,-
경기,보건지소,16,-,-,-,1,1,1,-,-,-,1,7,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-
경기,보건의료원,14,2,-,-,4,-,-,1,1,2,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
경기,한방병원,130,5,2,4,21,31,4,1,3,8,13,3,-,2,1,2,7,-,-,-,-,8,-,14,1,-,-
강원,계,"2,256",440,51,87,175,186,83,34,34,131,156,158,76,92,37,57,91,11,16,27,1,55,4,154,78,16,6
강원,상급종합병원,388,96,16,10,35,16,11,10,5,21,15,21,7,12,6,9,23,7,9,9,-,6,3,12,21,6,2
강원,종합병원,532,120,21,19,33,39,23,9,8,32,26,33,10,18,4,8,31,3,7,15,-,11,1,17,35,5,4
강원,병원,232,41,1,5,18,49,20,-,2,14,8,5,2,5,6,3,18,-,-,-,-,13,-,9,12,1,-
강원,요양병원,77,10,4,-,9,3,11,1,1,3,10,3,-,-,-,2,-,-,-,-,-,4,-,16,-,-,-
강원,정신병원,35,1,-,25,-,1,-,1,-,-,-,1,-,2,-,-,2,-,-,-,-,-,-,2,-,-,-
강원,의원,956,170,9,27,77,78,18,13,14,57,91,86,56,55,20,34,17,1,-,3,1,21,-,96,10,2,-
강원,치과병원,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
강원,보건소,11,1,-,-,-,-,-,-,1,1,3,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
강원,보건지소,5,-,-,-,-,-,-,-,-,-,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
강원,보건의료원,17,1,-,1,3,-,-,-,3,2,1,3,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-
강원,한방병원,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충북,계,"2,212",392,51,116,160,171,91,32,26,123,140,146,79,89,37,61,90,4,11,19,-,71,3,202,63,32,3
충북,상급종합병원,203,52,7,8,14,10,8,7,2,11,5,20,5,7,2,6,9,3,4,4,-,3,2,4,7,2,1
충북,종합병원,487,96,19,11,36,32,33,5,2,28,20,18,3,4,1,12,40,-,2,12,-,12,-,35,47,19,-
충북,병원,256,40,3,4,14,35,15,3,2,17,22,27,3,3,1,-,20,-,-,2,-,23,-,16,4,2,-
충북,요양병원,104,11,6,2,16,6,6,4,-,5,15,3,-,2,-,2,-,-,1,-,-,8,-,17,-,-,-
충북,정신병원,48,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
충북,의원,"1,085",192,16,45,75,85,29,13,14,57,76,77,68,73,32,41,20,1,4,1,-,25,1,127,4,7,2
충북,보건소,8,-,-,-,2,1,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
충북,보건지소,10,-,-,-,2,-,-,-,4,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-
충북,보건의료원,6,1,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
충북,한방병원,5,-,-,-,1,2,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
충남,계,"2,782",499,63,121,252,228,87,40,35,144,191,175,100,111,47,86,109,7,13,21,3,62,6,257,82,35,8
충남,상급종합병원,221,55,7,7,26,11,7,7,4,8,6,14,6,8,3,3,12,3,3,5,-,5,2,7,7,3,2
충남,종합병원,625,134,22,13,45,39,26,12,7,36,25,36,11,14,6,18,39,3,8,15,-,13,4,25,53,16,5
충남,병원,325,49,3,2,22,72,20,-,2,21,30,28,1,1,1,1,30,-,-,-,-,13,-,16,4,9,-
충남,요양병원,181,15,11,1,37,9,6,1,1,1,22,5,-,2,-,5,2,-,2,-,1,16,-,43,1,-,-
충남,정신병원,44,-,-,41,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
충남,의원,"1,333",244,20,55,112,92,27,19,18,70,104,89,82,86,35,56,24,1,-,1,2,15,-,159,15,6,1
충남,치과병원,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충남,보건소,6,-,-,-,1,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-
충남,보건지소,5,-,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
충남,보건의료원,27,2,-,2,4,1,1,1,2,3,2,2,-,-,1,-,1,-,-,-,-,-,-,3,2,-,-
충남,한방병원,12,-,-,-,5,3,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-
전북,계,"3,067",614,68,142,243,221,104,32,49,171,186,202,111,105,59,73,130,8,24,27,2,86,9,282,92,19,8
전북,상급종합병원,408,103,16,13,28,24,14,6,7,17,15,30,11,10,6,10,28,6,11,10,-,11,7,2,16,1,6
전북,종합병원,539,125,16,10,42,38,26,7,6,33,24,20,2,7,4,9,38,2,8,15,-,15,2,20,60,10,-
전북,병원,288,43,7,1,20,50,23,-,2,25,13,23,9,1,-,5,29,-,1,1,-,15,-,11,6,1,2
전북,요양병원,260,31,3,5,40,11,15,8,2,9,27,13,-,-,1,3,1,-,-,-,-,24,-,67,-,-,-
전북,정신병원,50,1,-,44,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
전북,의원,"1,462",304,26,69,106,98,26,10,27,82,104,103,86,87,48,43,33,-,4,1,2,17,-,172,9,5,-
전북,보건소,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전북,보건지소,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
전북,보건의료원,28,4,-,-,2,-,-,-,3,3,-,8,2,-,-,3,1,-,-,-,-,2,-,-,-,-,-
전북,한방병원,26,3,-,-,5,-,-,-,1,2,2,3,-,-,-,-,-,-,-,-,-,2,-,8,-,-,-
전남,계,"2,621",491,45,126,241,206,107,47,25,170,157,149,76,91,30,80,129,6,13,32,3,51,10,236,67,29,4
전남,상급종합병원,151,50,-,2,19,5,7,3,-,7,4,5,-,6,-,5,8,4,5,5,-,1,5,4,3,2,1
전남,종합병원,709,137,22,19,65,65,42,16,-,44,33,26,3,3,1,14,58,2,5,27,1,12,2,36,53,21,2
전남,병원,447,67,7,17,21,72,26,4,4,46,43,56,3,9,3,2,37,-,1,-,2,8,-,14,1,4,-
전남,요양병원,237,37,2,3,38,8,6,3,2,8,23,16,1,9,1,3,2,-,-,-,-,18,1,55,-,-,1
전남,정신병원,55,-,-,53,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전남,의원,988,198,14,32,95,53,25,21,16,60,52,41,68,63,25,55,23,-,2,-,-,9,2,124,9,1,-
전남,보건소,6,-,-,-,-,-,1,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
전남,보건지소,6,-,-,-,1,-,-,-,1,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
전남,보건의료원,8,1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,3,-,-,-,1,-
전남,한방병원,14,1,-,-,1,3,-,-,1,2,1,-,-,1,-,-,1,-,-,-,-,-,-,3,-,-,-
경북,계,"3,259",601,80,176,293,262,120,55,40,181,198,196,119,123,44,98,109,14,16,23,2,82,2,251,120,37,17
경북,종합병원,"1,014",201,37,26,65,84,59,24,15,55,38,46,18,17,5,23,68,6,15,21,-,13,2,37,104,29,6
경북,병원,339,55,11,7,27,41,13,1,5,24,42,24,5,7,3,2,23,1,-,-,-,25,-,13,8,1,1
경북,요양병원,304,45,8,1,63,11,15,7,1,9,31,10,3,4,-,11,-,2,1,1,-,29,-,51,-,-,1
경북,정신병원,117,2,1,105,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,1
경북,의원,"1,458",296,22,37,134,121,33,23,18,89,87,111,93,95,36,62,17,3,-,1,1,14,-,142,8,7,8
경북,보건소,3,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경북,보건지소,4,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
경북,보건의료원,14,1,-,-,2,2,-,-,-,3,-,2,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-
경북,한방병원,6,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
경남,계,"4,860",978,135,240,357,363,192,69,50,286,287,360,162,194,81,132,209,11,48,39,3,122,10,323,128,66,15
경남,상급종합병원,674,175,26,14,50,22,24,24,9,34,22,54,15,21,7,17,39,6,20,13,-,16,4,21,24,13,4
경남,종합병원,861,198,40,11,71,64,43,15,5,49,37,32,10,13,5,20,69,3,13,21,-,11,2,22,71,32,4
경남,병원,808,148,22,2,37,137,60,3,6,54,41,124,3,3,5,5,71,1,2,-,3,31,-,27,19,4,-
경남,요양병원,382,68,24,2,43,13,16,8,1,9,34,17,1,3,2,11,2,-,-,-,-,44,2,80,2,-,-
경남,정신병원,148,1,-,136,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6,1,-,-
경남,의원,"1,949",385,23,75,154,124,48,18,27,132,149,129,132,153,62,78,27,-,12,5,-,16,1,165,10,17,7
경남,치과병원,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,보건소,7,-,-,-,-,-,-,-,1,1,1,2,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
경남,보건지소,5,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-
경남,보건의료원,5,-,-,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
경남,한방병원,18,3,-,-,1,2,-,1,1,-,3,-,1,-,-,-,1,1,-,-,-,1,-,2,1,-,-
제주,계,"1,086",181,24,41,83,82,34,21,26,61,65,71,43,47,22,27,36,5,9,13,2,35,3,100,49,2,4
제주,종합병원,405,86,15,9,34,25,19,13,3,24,17,21,7,9,3,7,26,5,6,9,-,8,2,11,42,1,3
제주,병원,45,7,1,2,5,7,2,-,2,4,-,1,1,-,-,-,3,-,-,-,-,8,-,2,-,-,-
제주,요양병원,31,2,2,-,2,3,1,-,-,1,2,-,1,-,-,-,1,-,-,-,-,7,-,9,-,-,-
제주,정신병원,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,의원,588,86,6,26,40,46,12,7,20,30,46,46,33,37,19,20,6,-,2,4,2,12,1,78,7,1,1
제주,보건소,7,-,-,-,1,1,-,-,1,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,보건지소,5,-,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
제주,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,계,513,99,9,22,26,32,13,5,7,26,33,78,19,33,13,15,8,2,4,2,-,8,1,38,17,2,1
세종,종합병원,164,37,6,3,8,9,6,2,3,10,6,19,4,6,2,3,5,2,4,2,-,3,1,6,15,1,1
세종,병원,20,-,-,-,-,3,-,-,-,-,7,8,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
세종,요양병원,9,-,-,-,3,-,3,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,정신병원,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,의원,315,62,3,17,14,20,4,2,4,16,19,49,15,27,11,12,2,-,-,-,-,5,-,31,2,-,-
세종,보건소,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
세종,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
