시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
대구,병원,667,85,13,4,36,105,57,2,2,67,83,59,29,1,1,2,39,-,1,1,-,54,1,19,1,5,-
대구,요양병원,240,37,11,-,43,11,8,2,-,5,13,8,1,2,-,3,-,-,1,1,1,19,-,73,1,-,-
대구,정신병원,84,6,-,69,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,4,-,-,-
대구,의원,"2,586",515,56,101,142,164,54,11,103,126,166,186,162,184,119,120,69,-,22,12,-,25,1,231,6,6,5
대구,치과병원,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,보건소,21,2,-,-,-,-,-,-,-,-,6,8,-,-,-,-,-,1,-,1,-,-,1,1,-,-,1
대구,보건지소,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,한방병원,18,1,1,-,1,-,-,1,-,2,-,1,-,-,-,-,2,1,-,-,-,1,-,6,1,-,-
광주,계,"3,244",659,74,116,226,247,120,33,44,194,213,247,111,146,83,96,128,3,27,40,-,81,8,233,96,14,5
광주,상급종합병원,446,130,20,14,34,23,19,8,7,20,12,33,15,14,6,10,19,3,11,8,-,5,6,3,22,3,1
광주,종합병원,676,168,22,8,50,85,43,10,-,42,18,28,3,9,-,19,46,-,3,22,-,14,2,15,66,1,2
광주,병원,518,54,7,4,22,68,30,3,1,53,78,95,16,9,-,2,34,-,-,1,-,21,-,20,-,-,-
광주,요양병원,216,50,5,2,41,8,4,3,-,9,17,10,1,3,-,1,-,-,-,-,-,17,-,44,1,-,-
광주,정신병원,35,1,-,32,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
광주,의원,"1,291",253,20,56,74,57,23,9,34,65,83,68,76,108,77,62,27,-,12,9,-,22,-,137,7,10,2
광주,보건소,8,2,-,-,-,1,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
광주,한방병원,54,1,-,-,5,5,-,-,2,5,5,10,-,3,-,2,2,-,1,-,-,2,-,11,-,-,-
대전,계,"3,083",590,84,139,199,234,97,49,62,155,190,221,118,127,76,86,141,11,29,28,3,111,5,242,58,21,7
대전,상급종합병원,280,76,13,8,16,13,9,9,6,15,8,21,9,6,4,8,15,4,7,4,-,9,2,6,11,-,1
대전,종합병원,739,168,31,17,58,53,30,16,7,37,30,28,16,23,7,22,56,7,14,12,-,17,2,40,39,9,-
대전,병원,402,28,10,3,15,68,31,3,5,32,42,63,17,3,7,1,26,-,-,1,-,24,1,14,5,1,2
대전,요양병원,159,24,6,-,25,14,10,3,1,3,15,10,-,2,-,-,-,-,-,1,-,17,-,26,2,-,-
대전,정신병원,22,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,의원,"1,462",293,24,89,83,85,15,18,43,67,92,97,76,93,58,55,43,-,8,10,3,43,-,151,1,11,4
대전,보건소,7,-,-,-,1,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
대전,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
대전,한방병원,11,1,-,-,1,1,2,-,-,-,1,1,-,-,-,-,1,-,-,-,-,1,-,2,-,-,-
울산,계,"1,607",302,30,61,119,121,55,23,32,87,119,114,63,71,29,51,76,4,11,14,-,31,4,110,39,34,7
울산,상급종합병원,240,57,9,5,24,9,8,8,2,11,6,13,8,7,2,7,18,2,7,5,-,3,3,9,8,6,3
울산,종합병원,296,82,9,3,16,37,19,2,3,18,6,11,1,2,1,5,27,-,3,7,-,3,-,7,26,8,-
울산,병원,223,25,4,-,15,18,11,1,12,13,37,32,4,10,-,2,16,-,-,-,-,10,-,10,-,2,1
울산,요양병원,97,15,2,1,18,2,7,-,1,7,16,9,1,1,-,1,-,-,-,1,-,6,-,9,-,-,-
울산,정신병원,32,2,-,28,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,의원,707,120,6,24,43,55,10,12,13,36,53,47,48,51,26,36,14,1,1,1,-,9,1,74,5,18,3
울산,보건소,4,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
울산,보건지소,3,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,한방병원,5,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-
경기,계,"21,128","4,037",466,878,"1,373","1,715",709,218,243,"1,141","1,380","1,635",734,"1,061",546,572,875,63,194,208,16,585,47,"1,662",619,119,32
경기,상급종합병원,"1,658",406,70,43,134,73,63,44,26,100,57,104,53,43,23,32,141,18,37,31,-,23,14,44,68,6,5
경기,종합병원,"5,027","1,193",188,104,386,317,227,89,57,290,213,225,87,122,45,118,358,35,88,102,-,92,28,169,427,59,8
경기,병원,"2,333",294,56,36,89,502,197,5,12,167,255,177,38,17,8,8,200,3,-,3,1,118,1,93,39,14,-
경기,요양병원,969,182,66,15,131,39,33,15,5,15,67,29,2,6,1,12,3,-,-,1,2,169,-,169,3,2,2
경기,정신병원,210,6,-,199,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
경기,의원,"10,697","1,942",83,475,596,758,182,65,138,560,761,"1,062",553,865,466,396,163,6,69,69,13,175,2,"1,164",80,37,17
경기,치과병원,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
경기,보건소,64,6,1,-,3,1,-,-,1,1,11,24,-,3,-,3,1,-,-,1,-,-,-,8,-,-,-
경기,보건지소,26,-,-,-,1,2,-,-,2,1,2,8,-,1,2,1,1,1,-,-,-,-,2,1,-,1,-
경기,보건의료원,11,2,-,1,1,-,-,-,2,1,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
경기,한방병원,131,6,2,5,29,23,7,-,-,6,13,3,1,4,1,1,8,-,-,1,-,8,-,11,2,-,-
강원,계,"2,203",430,45,84,180,182,80,35,33,126,155,153,72,86,35,56,95,11,17,27,1,58,3,147,71,15,6
강원,상급종합병원,392,97,14,8,35,18,11,10,5,24,16,22,8,11,6,10,23,7,10,9,-,7,2,11,20,6,2
강원,종합병원,494,115,19,16,33,40,19,9,7,28,25,30,9,13,5,8,29,3,6,15,-,12,1,16,31,1,4
강원,병원,270,47,1,5,18,55,21,1,4,13,12,5,3,7,6,3,24,-,1,1,-,15,-,11,12,5,-
강원,요양병원,69,11,2,-,8,2,10,1,1,3,8,3,-,-,-,2,-,-,-,-,-,3,-,15,-,-,-
강원,정신병원,35,2,-,27,-,1,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,1,-,-,-
강원,의원,911,156,9,27,80,66,19,14,13,55,89,87,51,53,18,32,16,-,-,2,1,21,-,92,8,2,-
강원,치과병원,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
강원,보건소,13,1,-,-,1,-,-,-,1,1,2,3,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-
강원,보건지소,3,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
강원,보건의료원,11,1,-,1,3,-,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
강원,한방병원,4,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충북,계,"2,157",375,48,113,161,175,89,35,24,117,138,150,87,89,35,63,85,2,10,20,-,57,3,192,57,29,3
충북,상급종합병원,205,50,8,8,18,11,7,7,1,9,6,20,6,7,2,5,10,2,4,4,-,3,2,5,7,2,1
충북,종합병원,449,87,16,11,35,28,31,7,1,26,17,16,3,7,1,12,37,-,2,13,-,7,-,28,46,18,-
충북,병원,238,42,3,3,15,40,11,3,2,15,22,25,4,1,-,1,19,-,-,2,-,16,-,11,3,-,-
충북,요양병원,106,13,6,2,16,6,7,2,-,4,11,2,-,2,-,3,-,-,1,-,-,10,-,21,-,-,-
충북,정신병원,48,-,-,45,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
충북,의원,"1,069",182,15,44,71,88,30,15,15,59,80,74,73,72,31,42,18,-,3,1,-,21,1,124,1,7,2
충북,보건소,12,-,-,-,4,-,1,-,2,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충북,보건지소,22,-,-,-,1,-,-,1,3,3,-,11,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-
충북,한방병원,8,1,-,-,-,2,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
충남,계,"2,690",475,58,123,246,203,84,40,38,140,183,186,96,106,44,86,99,9,13,22,2,58,5,247,85,33,9
충남,상급종합병원,424,109,15,12,39,16,13,11,8,19,10,33,9,15,6,10,24,6,9,9,-,7,5,11,19,7,2
충남,종합병원,373,73,10,6,24,29,21,7,6,22,15,16,5,7,1,10,23,-,2,11,-,8,-,16,47,9,5
충남,병원,293,48,1,3,21,60,19,-,1,22,26,27,1,1,1,1,24,-,-,-,-,12,-,14,3,8,-
충남,요양병원,190,14,12,1,38,11,7,2,4,2,18,6,-,2,-,7,3,1,2,-,-,15,-,44,1,-,-
충남,정신병원,49,-,-,47,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
충남,의원,"1,297",228,20,52,116,83,24,18,15,67,110,93,81,81,36,55,22,1,-,2,2,14,-,156,13,6,2
충남,치과병원,4,-,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충남,보건소,9,-,-,-,1,1,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-
충남,보건지소,13,-,-,-,1,-,-,-,-,1,-,5,-,-,-,1,-,1,-,-,-,1,-,-,-,3,-
충남,보건의료원,28,3,-,2,3,1,-,1,4,3,2,3,-,-,-,-,2,-,-,-,-,-,-,2,2,-,-
충남,한방병원,10,-,-,-,3,2,-,-,-,1,-,-,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-
전북,계,"3,032",604,64,140,251,220,107,35,46,163,184,204,101,102,62,70,130,8,26,27,3,79,11,293,78,17,7
전북,상급종합병원,421,113,17,11,31,22,16,5,8,19,16,28,11,11,7,10,28,6,12,10,-,10,7,2,14,1,6
전북,종합병원,526,120,16,12,44,39,26,9,5,26,26,18,3,6,5,10,38,2,8,15,-,14,3,22,51,8,-
전북,병원,277,38,6,1,18,52,23,1,1,24,13,30,5,-,-,5,27,-,1,-,-,12,-,15,3,1,1
전북,요양병원,275,31,2,6,48,13,18,8,1,5,26,15,-,1,-,2,1,-,-,-,1,24,1,72,-,-,-
전북,정신병원,50,2,-,44,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
전북,의원,"1,434",293,23,66,105,93,24,12,28,83,102,101,82,84,50,42,36,-,5,2,2,15,-,171,10,5,-
전북,보건소,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
전북,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
전북,보건의료원,19,3,-,-,2,-,-,-,3,2,-,6,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-
전북,한방병원,26,4,-,-,3,1,-,-,-,4,1,3,-,-,-,-,-,-,-,-,-,2,-,8,-,-,-
전남,계,"2,609",480,47,123,245,197,101,45,34,158,161,150,73,97,30,81,130,8,14,31,1,47,10,248,65,28,5
전남,상급종합병원,160,50,-,2,22,6,5,4,-,6,5,5,-,6,2,5,11,5,6,4,-,1,4,5,3,2,1
전남,종합병원,678,136,22,20,60,58,38,12,1,41,33,24,3,7,1,12,56,2,6,26,-,10,2,33,53,20,2
전남,병원,445,66,7,16,22,68,28,5,9,42,42,54,3,9,3,3,39,-,1,-,1,8,-,15,1,3,-
전남,요양병원,254,35,2,5,45,11,4,3,2,8,26,16,2,8,-,2,3,1,-,-,-,17,2,61,-,-,1
전남,정신병원,55,1,1,51,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
전남,의원,981,190,15,29,91,53,26,21,16,59,51,42,65,66,24,59,20,-,1,1,-,8,2,132,8,1,1
전남,보건소,8,-,-,-,-,-,-,-,2,-,-,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
전남,보건지소,7,-,-,-,1,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
전남,보건의료원,8,1,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-
전남,한방병원,13,1,-,-,3,1,-,-,1,1,3,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-
경북,계,"3,183",586,76,172,277,257,123,55,43,163,201,190,118,124,42,100,111,7,14,20,3,74,2,263,111,35,16
경북,종합병원,920,187,35,22,58,70,56,22,15,50,36,39,15,18,3,24,62,2,14,18,-,13,1,34,97,25,4
경북,병원,346,57,10,9,25,49,16,3,4,23,41,22,3,6,2,2,27,2,-,1,-,16,-,16,7,2,3
경북,요양병원,316,49,8,2,58,16,18,7,-,5,30,10,4,5,-,8,1,-,-,-,1,29,-,64,-,-,1
경북,정신병원,115,4,1,103,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
경북,의원,"1,448",288,20,36,131,118,33,23,18,83,94,109,96,95,37,66,18,3,-,1,1,15,1,140,7,7,8
경북,보건소,6,-,-,-,-,-,-,-,1,1,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
경북,보건지소,7,-,1,-,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
경북,보건의료원,21,1,1,-,3,2,-,-,2,1,-,5,-,-,-,-,2,-,-,-,-,1,-,3,-,-,-
경북,한방병원,4,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
경남,계,"4,902",960,134,236,366,375,195,66,55,286,302,366,167,194,87,132,211,12,46,38,2,133,7,317,132,70,13
경남,상급종합병원,679,169,25,15,52,23,26,22,9,34,19,57,17,22,9,16,43,6,19,12,-,17,4,21,25,14,3
경남,종합병원,906,203,40,11,72,69,45,13,6,48,41,40,9,13,6,21,69,3,13,23,-,17,2,26,80,33,3
경남,병원,779,137,23,4,38,136,62,3,5,48,40,117,3,4,5,8,70,2,2,-,2,27,-,21,18,4,-
경남,요양병원,404,72,23,2,47,18,16,10,-,14,34,17,2,2,2,6,2,1,-,-,-,49,-,85,2,-,-
경남,정신병원,147,2,1,134,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-
경남,의원,"1,950",375,21,70,155,126,46,18,32,131,166,131,134,151,64,80,26,-,12,3,-,20,1,158,6,17,7
경남,치과병원,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,보건소,11,1,-,-,-,-,-,-,2,2,1,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
경남,보건지소,6,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-
경남,보건의료원,7,-,1,-,1,-,-,-,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,한방병원,9,1,-,-,-,1,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,1,-,1,-,1,-
제주,계,"1,043",177,24,36,77,85,36,22,24,53,67,72,38,44,21,27,32,4,9,14,1,34,3,93,43,4,3
제주,종합병원,398,90,16,8,30,28,20,13,4,21,18,21,6,9,3,7,24,4,7,10,-,7,2,9,37,1,3
제주,병원,40,6,1,2,4,6,2,-,1,3,-,-,1,-,-,-,3,-,-,-,-,8,-,2,-,1,-
제주,요양병원,35,4,2,-,3,3,2,-,-,1,2,-,1,-,-,-,1,-,-,-,-,7,-,9,-,-,-
제주,정신병원,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,의원,554,77,5,22,35,47,12,8,17,28,47,49,29,35,18,20,4,-,2,4,1,12,1,73,6,2,-
제주,보건소,5,-,-,-,1,1,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,보건지소,6,-,-,-,3,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,계,478,90,9,20,25,29,13,6,7,24,32,64,18,30,14,16,8,2,5,2,-,7,1,41,14,1,-
세종,종합병원,157,34,6,3,8,10,5,3,3,11,5,18,4,4,3,3,5,2,4,2,-,2,1,7,13,1,-
세종,병원,10,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
세종,요양병원,10,-,-,-,2,-,3,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,정신병원,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,의원,296,55,3,15,14,19,5,2,4,13,16,43,14,26,11,13,3,-,1,-,-,5,-,33,1,-,-
세종,보건지소,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
