소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
충청남도 보령시 청라면 장산리 828번지 8호 보령시립노인전문병원,충청남도 보령시 청라면 질재로 373 (보령시립노인전문병원),보령시립노인전문병원,요양병원(노인병원),14,33,160,"내과, 신경과, 재활의학과, 가정의학과, 한방내과"
,충청남도 당진시 고대면 정미로 1055,당진솔담요양병원,요양병원(일반요양병원),16,31,167,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 예방의학과, 한방내과"
,충청남도 당진시 당진중앙1로 43 (읍내동),당진성모병원,병원,20,20,52,"내과, 신경과, 외과, 정형외과, 신경외과, 영상의학과, 가정의학과"
"충청남도 당진시 읍내동 269-5 지하1층, 지상2-3층",충청남도 당진시 당진중앙1로 179(읍내동),열린내과병원,병원,9,8,30,"내과, 영상의학과"
,충청남도 당진시 신평면 말목길 22-13 (당진요양병원),당진요양병원,요양병원(일반요양병원),22,56,158,"내과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 침구과"
충청남도 당진시 읍내동 224번지 4호 진원스타타워,"충청남도 당진시 당진중앙2로 103-8, 8, 9층 (읍내동, 진원스타타워)",의료법인 이손의료재단 이손치과병원,치과병원,2,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과"
충청남도 당진군 당진읍 시곡리 57번지 1호,충청남도 당진시 반촌로 5-15 (시곡동),당진종합병원,종합병원,74,72,259,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 직업환경의학과, 응급의학과"
,경기도 화성시 우정읍 남양만로 662,의료법인 일선의료재단 화성현대요양병원,요양병원(일반요양병원),7,26,143,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
,경기도 화성시 삼성1로 144-6 (석우동),의료법인상운의료재단 동탄제일병원,병원,78,80,201,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 가정의학과"
,경기도 화성시 큰재봉길 7 (석우동),한림대학교동탄성심병원,종합병원,1051,213,781,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치과보존과"
,"경기도 화성시 동탄지성로 17, 지하1~2층 일부층 (반송동, 풍성위버폴리스)",센트럴아동병원,병원,32,36,50,소아청소년과
경기도 화성시 마도면 두곡리 418번지 2호,경기도 화성시 마도면 화성로 848-16,의료법인 정도의료재단 아미고병원,정신병원,6,29,120,"내과, 신경과, 정신건강의학과, 가정의학과"
경기도 화성시 양감면 사창리 808번지 10호,경기도 화성시 양감면 사격장길 133-25,의료법인 승민의료재단 화성초록병원,정신병원,20,61,292,정신건강의학과
경기도 화성시 능동 1066번지 4호 동탄V프라자,"경기도 화성시 동탄원천로 338-7, 동탄V프라자 3~7층 (능동)",메타메디병원,정신병원,13,29,149,"내과, 신경과, 정신건강의학과, 소아청소년과, 이비인후과"
,경기도 화성시 동탄지성로 113 (능동),동탄시티병원,병원,30,21,90,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
경기도 화성시 진안동 525번지 14호,경기도 화성시 떡전골로 112-13 (진안동),새샘병원,정신병원,10,25,134,정신건강의학과
충청북도 청주시 흥덕구 비하동 195번지 3호,충청북도 청주시 흥덕구 비하로 65 (비하동),청주현대병원,병원,21,46,175,"내과, 정형외과, 마취통증의학과, 영상의학과"
,"충청북도 청주시 서원구 복대로17번길 57-0 (개신동,모태안여성병원)",모태안여성병원,병원,16,45,70,
,"충청북도 제천시 북부로13길 94-0 (천남동,제천병원)",의료법인 창민의료재단 제천병원,정신병원,29,94,355,정신건강의학과
,"충청북도 제천시 북부로13길 94-0 (천남동, (천남동))",의료법인 창민의료재단 제천노인전문요양병원,요양병원(일반요양병원),18,26,148,"내과, 신경과, 외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 한방내과"
청주시상당구 금천동 162-90,충청북도 청주시 상당구 쇠내로 16 (금천동),의료법인정산의료재단효성병원,종합병원,169,99,397,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 직업환경의학과, 응급의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 통합치의학과"
,"경기도 화성시 효행로 1051, 메인프라자 6일부,7, 8일부층 (진안동)",삼성우리요양병원,요양병원(일반요양병원),27,37,181,"내과, 외과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
,경기도 화성시 매송면 화성로 2407-15,화성해인요양병원,요양병원(일반요양병원),19,58,297,"내과, 신경과, 소아청소년과, 안과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
충청북도 음성군 생극면 관성리 25번지,충청북도 음성군 생극면 일생로 518,의료법인 음성소망의료재단 음성소망병원,정신병원,45,208,955,"내과, 신경과, 정신건강의학과, 재활의학과, 가정의학과"
충청북도 음성군 맹동면 인곡리 산 1번지 64호,충청북도 음성군 맹동면 꽃동네길 37,(재)예수의꽃동네유지재단 인곡자애병원,병원,28,16,77,"내과, 정신건강의학과, 소아청소년과, 비뇨의학과, 재활의학과, 구강내과"
충청북도 음성군 생극면 관성리 27번지,충청북도 음성군 생극면 일생로 516,의료법인 현대소망의료재단 현대병원,정신병원,10,69,299,"정신건강의학과, 가정의학과"
충청북도 청주시 상당구 남문로2가 15번지,"충청북도 청주시 상당구 상당로 47, 2.3층 (남문로2가)",남궁요양병원,요양병원(일반요양병원),3,47,238,"내과, 외과, 산부인과, 소아청소년과, 재활의학과, 한방내과"
충청북도 청주시 상당구 남일면 쌍수리 75번지 1호,충청북도 청주시 상당구 단재로 635 (사서함 335-21),공군항공우주의료원,병원,53,14,50,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 산부인과, 안과, 이비인후과, 피부과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과"
,"충청북도 청주시 서원구 대림로 431-0 (죽림동,하나노인전문병원)",하나노인전문병원,요양병원(일반요양병원),20,23,130,"정형외과, 가정의학과, 한방내과"
충청북도 청주시 흥덕구 복대동 40번지 16호,"충청북도 청주시 흥덕구 가로수로 1317 (복대동, 서울아동병원)",서울아동병원,병원,24,26,42,소아청소년과
충청북도 청주시 청원구 주중동 589번지 5호,충청북도 청주시 청원구 주성로 173-19 (주중동),청주성모병원,종합병원,382,134,410,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 예방의학과"
청주시상당구 영운동 125-5,충청북도 청주시 상당구 단재로 106 (영운동),의료법인인화재단한국병원,종합병원,176,109,429,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과"
충청북도 청주시 서원구 현도면 우록리 1번지 1호,충청북도 청주시 서원구 현도면 우록4길 151,의료법인혜광의료재단충북병원,정신병원,21,80,280,"내과, 정신건강의학과"
충청북도 청주시 상당구 가덕면 노동리 18번지 11호,충청북도 청주시 상당구 가덕면 보청대로 4673-61,주사랑병원,정신병원,22,55,294,"정신건강의학과, 가정의학과"
충청북도 청주시 청원구 오창읍 각리 639번지 9호,충청북도 청주시 청원구 오창읍 중부로 683,오창중앙병원,병원,14,24,77,"정형외과, 심장혈관흉부외과, 가정의학과"
,충청북도 청주시 서원구 궁뜰로62번길 29 (장성동),청주시립요양병원,요양병원(일반요양병원),1,39,197,"내과, 소아청소년과, 재활의학과, 가정의학과, 침구과"
충청북도 청주시 청원구 율량동 2015번지,충청북도 청주시 청원구 충청대로 100 (율량동),예미담요양병원,요양병원(일반요양병원),6,36,198,"내과, 정신건강의학과, 재활의학과, 한방내과"
충청북도 청주시 상당구 방서동 644-41,충청북도 청주시 상당구 2순환로2031번길 6-9(방서동),예사랑병원,정신병원,12,43,155,"내과, 정신건강의학과, 가정의학과"
"충청북도 청주시 흥덕구 강서동 475번지 (1,2,4~10층)","충청북도 청주시 흥덕구 2순환로 1234, 1,2,4~10층 (강서동)",씨엔씨푸른병원,병원,33,29,140,"내과, 신경과, 영상의학과, 재활의학과, 가정의학과, 구강내과"
"충청북도 청주시 흥덕구 성화동 717,718번지3,4층",충청북도 청주시 서원구 서부로 1350 (성화동),새빛병원,병원,4,12,31,외과
,충청북도 청주시 서원구 남이면 남석로 316-26 (서원요양병원),서원요양병원,요양병원(일반요양병원),20,63,295,"내과, 외과, 신경외과, 산부인과, 가정의학과"
,충청북도 청주시 서원구 궁뜰로 16 (미평동),의료법인 하람의료재단 청주탑요양병원,요양병원(일반요양병원),2,54,293,"내과, 외과, 마취통증의학과, 산부인과, 한방내과"
충청북도 청주시 서원구 분평동 1220,충청북도 청주시 서원구 청남로 2014(분평동),청주삼성병원,병원,7,52,205,"내과, 신경과, 재활의학과, 한방내과"
충청북도 청주시 상당구 북문로2가 116번지 187호,충청북도 청주시 상당구 상당로 112 (북문로2가),마디사랑병원,병원,10,16,49,"정형외과, 신경외과, 마취통증의학과, 영상의학과"
,충청북도 청주시 흥덕구 사직대로 26-0 (복대동),의료법인송암의료재단마이크로재활병원,병원,5,48,163,"신경과, 재활의학과, 가정의학과"
충청북도 옥천군 옥천읍 문정리150,충청북도 옥천군 옥천읍 성왕로 1195,의료법인 힐링의료재단 옥천성모병원,종합병원,53,47,164,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 산부인과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과"
,충청북도 옥천군 옥천읍 삼양로5길 12,의료법인창곡의료재단 참조은요양병원,요양병원(일반요양병원),5,28,197,"내과, 신경과"
충청북도 청주시 청원구 내덕동 306번지 5호,충청북도 청주시 청원구 내덕로 56 (내덕동),뿌리병원,병원,43,45,200,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과"
충청북도 청주시 흥덕구 미평동 25번지,충청북도 청주시 서원구 청남로 1910 (미평동),충북도립노인전문병원,요양병원(일반요양병원),20,27,133,"내과, 산부인과, 한방재활의학과"
충청북도 청주시 서원구 미평동 22번지 5호,충청북도 청주시 서원구 청남로 1910 (미평동),의료법인 참사랑재단 참사랑요양병원,요양병원(일반요양병원),13,30,126,"신경과, 외과, 산부인과, 이비인후과, 가정의학과"
충청북도 청주시 흥덕구 복대동 850번지 3호,충청북도 청주시 흥덕구 사직대로 26 (복대동),의료법인송암의료재단마이크로병원,병원,5,49,200,"내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
제천시 서부동 176,충청북도 제천시 숭문로 57 (서부동),의료법인자산의료재단제천서울병원,종합병원,121,89,248,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과"
충청북도 제천시 모산동 103번지 1호,충청북도 제천시 세명로 66 (모산동),학교법인대원교육재단세명대학교부속한방병원,한방병원,25,21,70,"한방내과, 한방부인과, 한방안·이비인후·피부과, 한방재활의학과, 침구과"
충청북도 청주시 서원구 산남동 655번지 에버프라자,"충청북도 청주시 서원구 산남로 56, 에버프라자 (산남동)",청주나비솔한방병원,한방병원,3,27,67,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,충청북도 제천시 금성면 청풍호로 1147-0,청풍호노인사랑병원,요양병원(일반요양병원),27,34,177,"내과, 외과, 신경외과, 산부인과, 소아청소년과, 가정의학과, 침구과"
제천시 청전동 27-1,충청북도 제천시 용두천로 333 (청전동),의료법인솔트의료재단예성요양병원,요양병원(일반요양병원),14,20,120,"내과, 산부인과, 재활의학과"
,"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",의료법인 명지의료재단 명지병원,종합병원,207,50,221,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강내과"
충청북도 제천시 청전동 39번지 1호,충청북도 제천시 의림대로 284 (청전동),의료법인 성지의료재단 제천성지병원,병원,26,27,93,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
충청북도 청주시 청원구 주성동 349번지,"충청북도 청주시 청원구 주성로 273, 2~7층 (주성동)",아이웰어린이병원,병원,21,50,88,소아청소년과
충청북도 청주시 흥덕구 복대동 844번지,충청북도 청주시 흥덕구 월명로 15 (복대동),의료법인원광의료재단청주원광효도요양병원,요양병원(일반요양병원),27,61,300,"내과, 신경과, 외과, 심장혈관흉부외과, 재활의학과, 한방내과, 침구과"
충청북도 제천시 중앙로1가 112번지 1호,충청북도 제천시 풍양로 89 (중앙로1가),제천우석요양병원,요양병원(일반요양병원),9,27,153,"내과, 외과, 신경외과, 가정의학과, 한방내과"
,경기도 화성시 화산북로 21 (송산동),의료법인 원광의료재단 원광종합병원,종합병원,34,65,283,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 비뇨의학과, 영상의학과, 병리과, 가정의학과, 직업환경의학과, 응급의학과"
경기도 화성시 향남읍 하길리 1471번지 4호,"경기도 화성시 향남읍 상신하길로298번길 11, 6일부,8,9,10층",의료법인 은혜와감사의료재단 향남스마트병원,병원,9,28,99,"내과, 신경외과, 소아청소년과, 재활의학과"
경기도 화성시 향남읍 하길리 1465번지 2호,"경기도 화성시 향남읍 발안양감로 187, 4,5층",화성한방병원,한방병원,12,23,78,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"경기도 화성시 동탄지성로 116, 강남프라자 2,3,4,5층 (반송동)",동탄튼튼한방병원,한방병원,26,22,70,"내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"경기도 화성시 효행로 990 (진안동, 비젼월드)",제일요양병원,요양병원(일반요양병원),16,24,135,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과"
경기도 화성시 향남읍 하길리 1470-5,"경기도 화성시 향남읍 상신하길로298번길 7-27, 3-6(5,6일부)층",수앤수병원,병원,12,14,71,"내과, 정형외과, 성형외과"
경기도 화성시 산척동 728-3 동탄에스비타운,"경기도 화성시 동탄순환대로 127-19, 동탄에스비타운 3(일부),6,7층 (산척동)",동탄성모병원,병원,30,44,64,"내과, 소아청소년과, 이비인후과, 피부과"
서울특별시 중랑구 망우동 128-29 동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",의료법인풍산의료재단동부제일병원,종합병원,94,30,124,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과, 가정의학과"
서울특별시 중랑구 상봉동 108번지 2호,서울특별시 중랑구 면목로 473 (상봉동),강북21세기병원,병원,42,28,87,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
서울특별시 중랑구 망우동 488-8 장스여성병원 비동,"서울특별시 중랑구 용마산로117길 49, 장스여성병원 비동 (7층 일부제외)동 (망우동)",장스여성병원,병원,18,25,39,"내과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과"
,서울특별시 중랑구 사가정로49길 53 (면목동),녹색병원,종합병원,290,71,291,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과"
서울특별시 중랑구 망우동 207번지 1호,"서울특별시 중랑구 망우로 474 (망우동, 조앤조병원)",조앤조병원,병원,10,17,65,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 비뇨의학과, 영상의학과, 재활의학과"
,서울특별시 중랑구 동일로 890 (묵동),마디세상병원,병원,38,14,46,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 가정의학과"
,"서울특별시 중랑구 망우로 316, 이지팰리스 5~7층 503-2,504,505,601~605,701~705호 (상봉동)",한걸음요양병원,요양병원(일반요양병원),34,32,186,"내과, 정형외과, 재활의학과, 한방내과, 한방재활의학과, 침구과"
,서울특별시 중랑구 망우로 476 (망우동),서울라본병원,병원,15,17,57,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과"
,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",가톨릭대학교 여의도성모병원,종합병원,766,130,440,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보존과"
,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",명지성모병원,종합병원,191,50,225,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과"
,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",씨엠병원,종합병원,86,38,110,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 영상의학과, 진단검사의학과"
,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",대림성모병원,종합병원,175,65,202,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 가정의학과, 핵의학과, 응급의학과, 구강내과"
서울특별시 성동구 행당동 130번지 115호 9988병원빌딩,서울특별시 성동구 왕십리로 269 (행당동),9988병원,병원,14,12,44,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과"
서울특별시 서초구 서초동 1586-4,"서울특별시 서초구 효령로 261-1, 4,5,6,7층 (서초동)",서울탑치과병원,치과병원,5,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과"
,서울특별시 서초구 헌릉로 260 (내곡동),서울특별시어린이병원,병원,200,39,208,"정신건강의학과, 소아청소년과, 영상의학과, 재활의학과, 치과, 소아치과, 구강내과"
,서울특별시 서초구 반포대로 222 (반포동),학교법인가톨릭학원가톨릭대학교서울성모병원,종합병원,3130,459,1370,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
서울특별시 서초구 방배동 837번지 13호,서울특별시 서초구 방배로 186 (방배동),재단법인 동국한방병원,한방병원,6,10,30,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과"
서울특별시 서초구 방배1동 896번지 1호,서울특별시 서초구 서초대로 116 (방배동),의료법인 청해의료재단 제일병원,병원,11,12,44,"내과, 외과, 정형외과, 신경외과, 성형외과, 소아청소년과, 피부과, 비뇨의학과"
서울특별시 서초구 방배동 481번지 10호,서울특별시 서초구 남부순환로 2151 (방배동),대항병원,병원,142,32,78,"내과, 외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 비뇨의학과, 영상의학과, 병리과, 가정의학과"
,"서울특별시 서초구 방배로 245, 3층 (방배동, 현대클리닉빌딩)",필치과병원,치과병원,1,0,0,"치과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",한림대학교 한강성심병원,종합병원,162,39,144,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과"
서울특별시 서초구 방배동 488-6 지하4층~지상6층,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",연세사랑병원,병원,190,55,177,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
"서울특별시 서초구 반포동 20번지 45호 반포자이프라자 403, 404호","서울특별시 서초구 잠원로 24, 403,404호 (반포동, 반포자이프라자)",서울귀한이치과병원,치과병원,1,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과"
,"서울특별시 영등포구 영중로 122 (영등포동8가, 일이빌딩)",마리아성모요양병원,요양병원(일반요양병원),28,35,215,"정형외과, 마취통증의학과, 가정의학과, 한방내과"
