시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
대구,한방병원,20,2,-,-,2,1,-,1,-,2,-,1,-,-,-,1,2,1,-,-,-,1,-,5,1,-,-
광주,계,"3,245",652,73,114,224,243,121,33,45,199,214,237,111,145,88,92,130,3,25,42,-,84,8,238,104,14,6
광주,상급종합병원,431,116,19,14,31,21,22,7,8,19,13,28,13,11,8,9,21,3,11,10,-,6,6,3,27,3,2
광주,종합병원,681,166,23,7,52,85,42,11,-,43,20,29,3,8,1,18,45,-,3,22,-,17,2,15,66,1,2
광주,병원,508,60,7,5,22,62,28,3,-,53,73,91,15,9,-,1,34,-,-,1,-,21,-,22,1,-,-
광주,요양병원,208,47,4,1,39,6,4,3,1,8,20,7,1,3,1,1,-,-,-,-,-,14,-,46,2,-,-
광주,정신병원,35,1,-,32,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
광주,의원,"1,316",259,20,55,75,61,24,8,34,71,82,69,79,112,78,61,28,-,11,9,-,24,-,136,8,10,2
광주,보건소,8,2,-,-,-,1,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
광주,한방병원,58,1,-,-,5,7,-,1,2,5,6,10,-,2,-,2,2,-,-,-,-,2,-,13,-,-,-
대전,계,"3,071",584,84,142,196,231,98,51,58,153,183,211,120,128,78,85,145,10,32,33,2,114,6,241,54,26,6
대전,상급종합병원,437,108,18,12,34,18,14,17,9,25,14,33,17,11,6,10,28,6,10,8,-,10,3,10,15,-,1
대전,종합병원,558,125,25,12,42,43,25,8,3,29,25,16,7,15,5,16,44,4,10,9,-,16,2,35,32,10,-
대전,병원,415,30,12,3,14,72,32,2,5,37,37,60,15,3,8,1,30,-,-,1,-,30,1,16,4,1,1
대전,요양병원,151,24,7,-,21,12,11,3,-,3,16,8,-,3,-,-,-,-,-,1,-,16,-,24,2,-,-
대전,정신병원,22,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대전,의원,"1,469",297,22,93,84,84,14,21,41,58,88,92,81,96,59,57,42,-,12,14,2,41,-,151,1,15,4
대전,보건소,7,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
대전,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
대전,한방병원,11,-,-,-,1,2,2,-,-,-,1,1,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-
울산,계,"1,611",304,31,65,114,119,54,24,34,85,113,120,63,70,30,51,73,4,11,14,-,36,3,111,44,32,6
울산,상급종합병원,238,59,10,5,21,7,9,8,3,11,6,13,7,6,2,7,18,2,7,5,-,3,2,9,8,7,3
울산,종합병원,311,88,9,4,17,39,18,2,4,15,7,14,1,3,1,5,29,-,2,7,-,3,-,6,29,8,-
울산,병원,200,23,4,-,13,17,8,1,9,13,32,27,4,8,1,2,13,-,1,-,-,11,-,10,-,2,1
울산,요양병원,95,14,1,1,17,2,7,-,3,6,13,9,1,-,-,1,-,-,-,1,-,7,-,10,2,-,-
울산,정신병원,27,2,-,24,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,의원,726,117,7,31,44,54,11,13,14,39,54,54,49,53,26,36,12,1,1,1,-,12,1,75,4,15,2
울산,보건소,5,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
울산,보건지소,3,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
울산,한방병원,6,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-
경기,계,"21,548","4,102",471,887,"1,381","1,764",713,219,248,"1,142","1,422","1,663",760,"1,062",545,578,895,63,203,227,16,614,49,"1,723",640,129,32
경기,상급종합병원,"1,861",436,77,49,154,87,66,45,31,105,66,119,52,44,27,37,155,23,46,36,-,30,16,58,87,8,7
경기,종합병원,"4,826","1,133",188,94,372,301,212,89,53,282,205,214,86,98,42,110,351,31,80,102,-,93,28,172,418,65,7
경기,병원,"2,353",302,53,37,101,503,201,6,13,165,258,165,37,18,6,8,198,1,-,4,1,125,1,96,38,15,1
경기,요양병원,948,179,67,12,125,33,31,10,6,14,74,33,2,6,-,14,3,1,-,1,2,166,-,161,5,2,1
경기,정신병원,211,7,-,199,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
경기,의원,"11,116","2,029",84,492,601,811,198,67,137,564,787,"1,094",583,891,469,402,179,6,77,83,13,191,3,"1,211",91,37,16
경기,치과병원,3,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
경기,보건소,67,8,-,-,3,1,-,1,-,2,14,24,-,2,-,3,1,-,-,1,-,-,-,6,-,1,-
경기,보건지소,20,-,-,-,1,1,-,-,2,-,1,8,-,1,-,1,1,1,-,-,-,-,1,1,-,1,-
경기,보건의료원,14,2,-,-,3,-,-,-,2,2,1,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
경기,한방병원,129,5,2,4,20,27,5,1,3,8,16,4,-,2,1,2,7,-,-,-,-,8,-,13,1,-,-
강원,계,"2,247",431,51,86,183,189,83,34,35,128,155,154,77,89,36,56,95,10,16,27,1,55,3,154,77,16,6
강원,상급종합병원,384,93,16,8,37,17,11,10,5,23,15,21,7,11,5,9,23,7,9,9,-,7,2,11,20,6,2
강원,종합병원,526,117,21,20,35,41,21,8,8,31,26,31,10,17,4,8,29,3,7,15,-,11,1,19,35,4,4
강원,병원,243,42,1,5,17,52,21,1,3,13,8,4,3,5,7,3,23,-,-,-,-,14,-,8,12,1,-
강원,요양병원,75,9,4,-,10,3,11,1,1,3,10,2,-,-,-,1,-,-,-,-,-,3,-,17,-,-,-
강원,정신병원,34,1,-,24,-,1,-,1,-,-,-,-,-,2,-,-,3,-,-,-,-,-,-,2,-,-,-
강원,의원,944,166,9,28,79,75,19,13,13,55,90,86,56,54,19,34,17,-,-,3,1,20,-,95,10,2,-
강원,치과병원,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
강원,보건소,13,1,-,-,1,-,-,-,1,1,3,3,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-
강원,보건지소,7,1,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-
강원,보건의료원,18,1,-,1,4,-,-,-,4,1,1,3,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-
강원,한방병원,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충북,계,"2,187",384,49,113,156,180,93,31,28,121,136,154,82,87,38,62,88,4,9,19,-,64,3,198,54,31,3
충북,상급종합병원,212,55,7,8,15,12,7,7,2,11,6,22,5,7,2,5,9,3,4,4,-,4,2,5,7,2,1
충북,종합병원,462,90,16,10,36,33,32,5,3,27,17,18,3,4,1,13,36,-,2,12,-,11,-,32,43,18,-
충북,병원,255,39,2,4,14,41,16,3,2,17,21,26,4,3,1,1,22,-,-,2,-,18,-,13,4,2,-
충북,요양병원,105,12,7,2,13,6,7,1,-,6,15,4,1,2,-,2,-,-,-,-,-,10,-,17,-,-,-
충북,정신병원,48,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
충북,의원,"1,069",188,17,44,73,86,30,15,14,57,75,75,69,71,32,40,20,1,3,1,-,21,1,128,-,6,2
충북,보건소,10,-,-,-,2,1,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
충북,보건지소,21,-,-,-,2,-,-,-,6,1,-,7,-,-,2,1,-,-,-,-,-,-,-,-,-,2,-
충북,한방병원,5,-,-,-,1,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
충남,계,"2,741",483,63,121,258,216,86,41,40,138,186,173,96,109,46,83,106,8,12,21,2,61,6,258,84,36,8
충남,상급종합병원,214,54,7,6,26,10,7,7,4,8,5,13,5,8,3,3,12,3,3,5,-,4,2,6,8,3,2
충남,종합병원,608,127,22,12,47,36,27,12,7,33,25,35,10,13,6,17,39,3,7,15,-,12,4,23,55,16,5
충남,병원,309,43,3,3,22,69,20,-,1,21,29,25,1,1,1,1,28,-,-,-,-,12,-,16,4,9,-
충남,요양병원,187,18,11,1,42,9,4,2,2,1,18,5,-,3,-,5,2,-,2,-,-,16,-,45,1,-,-
충남,정신병원,47,-,-,44,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
충남,의원,"1,309",238,20,53,111,88,27,19,18,68,105,89,80,84,34,55,22,1,-,1,2,15,-,160,14,4,1
충남,치과병원,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충남,보건소,10,-,-,-,1,1,-,-,1,1,1,1,-,-,1,-,-,-,-,-,-,-,-,2,-,1,-
충남,보건지소,13,1,-,-,-,-,-,1,3,-,-,2,-,-,-,-,-,1,-,-,-,2,-,-,-,3,-
충남,보건의료원,28,2,-,2,4,1,1,-,4,1,2,3,-,-,1,-,2,-,-,-,-,-,-,3,2,-,-
충남,한방병원,12,-,-,-,5,2,-,-,-,1,-,-,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-
전북,계,"3,045",605,65,139,246,221,102,31,51,169,187,203,113,102,60,74,126,9,25,27,2,82,9,286,85,17,9
전북,상급종합병원,409,102,17,12,29,23,14,6,8,19,15,29,11,10,6,10,28,6,11,10,-,11,7,2,16,1,6
전북,종합병원,519,123,14,9,42,38,26,7,6,29,24,19,3,6,4,10,36,2,8,14,-,14,2,20,54,9,-
전북,병원,286,41,5,-,20,51,23,-,2,24,14,24,9,-,1,6,29,-,1,1,-,14,-,13,5,1,2
전북,요양병원,253,28,4,5,41,11,15,8,1,7,26,12,-,-,1,3,1,-,-,-,-,23,-,66,-,-,1
전북,정신병원,51,1,-,45,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
전북,의원,"1,462",303,25,68,106,98,24,10,28,85,104,103,87,86,48,42,32,-,5,2,2,16,-,175,9,4,-
전북,보건소,4,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전북,보건지소,7,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-
전북,보건의료원,28,4,-,-,2,-,-,-,4,3,-,8,2,-,-,3,-,-,-,-,-,2,-,-,-,-,-
전북,한방병원,26,3,-,-,5,-,-,-,1,1,3,3,-,-,-,-,-,-,-,-,-,2,-,8,-,-,-
전남,계,"2,616",487,44,122,242,205,107,44,35,163,156,153,76,91,29,82,130,6,13,33,2,49,10,238,68,27,4
전남,상급종합병원,149,50,-,2,19,5,6,3,-,7,4,5,-,6,-,5,8,4,5,5,-,-,6,4,3,1,1
전남,종합병원,701,134,21,18,65,62,42,13,1,42,34,26,3,3,1,15,58,2,5,28,1,12,2,37,54,20,2
전남,병원,452,68,7,16,23,73,25,5,10,44,40,57,3,9,3,3,37,-,1,-,1,8,-,14,1,4,-
전남,요양병원,236,37,2,3,36,10,8,2,3,8,23,16,1,9,-,3,2,-,-,-,-,16,1,55,-,-,1
전남,정신병원,55,-,-,53,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전남,의원,988,196,14,30,96,53,26,21,17,58,53,41,68,63,25,56,24,-,2,-,-,9,1,125,9,1,-
전남,보건소,7,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
전남,보건지소,7,-,-,-,1,-,-,-,3,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전남,보건의료원,8,1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,3,-,-,-,1,-
전남,한방병원,13,1,-,-,1,2,-,-,1,2,1,-,-,1,-,-,1,-,-,-,-,-,-,3,-,-,-
경북,계,"3,233",599,77,172,285,259,124,55,41,173,201,203,114,122,45,99,104,11,14,24,2,79,2,253,122,36,17
경북,종합병원,987,197,36,25,66,79,58,22,16,55,37,44,17,17,3,23,61,5,13,21,-,14,2,37,105,28,6
경북,병원,340,57,10,7,23,42,16,2,6,23,42,24,3,5,4,2,25,1,-,1,-,22,-,15,8,1,1
경북,요양병원,303,47,8,1,60,12,15,8,-,8,33,12,2,5,-,11,-,1,1,1,-,28,-,49,-,-,1
경북,정신병원,114,2,1,102,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,1
경북,의원,"1,455",293,22,37,132,120,34,23,18,85,89,113,91,95,37,62,17,3,-,1,1,14,-,144,9,7,8
경북,보건소,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경북,보건지소,4,1,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경북,보건의료원,22,2,-,-,2,2,1,-,1,2,-,5,1,-,1,1,1,-,-,-,-,1,-,2,-,-,-
경북,한방병원,6,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
경남,계,"4,832",965,133,240,358,362,195,69,52,280,285,358,163,192,82,130,203,10,47,39,3,123,10,327,124,67,15
경남,상급종합병원,668,175,26,14,51,20,23,24,9,33,22,54,15,21,7,15,38,6,19,13,-,16,4,20,26,13,4
경남,종합병원,854,194,38,12,71,62,45,14,6,49,35,33,11,13,6,20,65,3,12,21,-,11,2,24,71,32,4
경남,병원,782,142,23,2,34,139,62,3,5,49,39,118,3,1,5,6,70,1,3,-,3,30,-,26,14,4,-
경남,요양병원,389,69,23,2,46,15,17,9,2,9,31,19,1,3,2,8,2,-,-,-,-,46,2,81,2,-,-
경남,정신병원,148,2,-,136,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-
경남,의원,"1,953",381,23,74,155,124,47,18,28,129,156,129,132,153,61,80,27,-,12,4,-,17,1,168,10,17,7
경남,치과병원,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경남,보건소,9,1,-,-,-,-,-,-,1,1,1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-
경남,보건지소,9,-,-,-,-,-,-,-,1,4,-,-,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-
경남,보건의료원,5,-,-,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
경남,한방병원,12,1,-,-,-,1,-,1,-,1,1,-,1,-,-,-,1,-,-,1,-,1,-,3,-,-,-
제주,계,"1,075",178,22,42,84,82,34,21,25,62,64,70,42,45,22,29,35,5,9,13,2,35,3,98,47,2,4
제주,종합병원,399,85,14,9,35,27,19,13,3,23,17,20,7,9,3,7,25,5,6,9,-,7,2,10,40,1,3
제주,병원,44,7,1,2,5,5,2,-,2,4,-,1,1,-,-,-,3,-,-,-,-,9,-,2,-,-,-
제주,요양병원,31,2,2,-,2,3,1,-,-,1,2,-,1,-,-,-,1,-,-,-,-,7,-,9,-,-,-
제주,정신병원,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,의원,582,84,5,26,39,46,12,7,19,32,45,47,32,35,19,21,6,-,2,4,2,12,1,77,7,1,1
제주,보건소,6,-,-,-,1,1,-,-,1,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
제주,보건지소,7,-,-,-,1,-,-,1,-,2,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
제주,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,계,508,95,9,23,26,32,13,5,7,26,31,79,20,33,13,15,9,2,4,2,-,5,1,37,18,2,1
세종,종합병원,158,34,6,3,8,8,5,2,3,10,6,18,4,6,2,3,5,2,4,2,-,2,1,6,16,1,1
세종,병원,21,-,-,-,-,3,-,-,-,-,7,9,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
세종,요양병원,9,-,-,-,3,-,3,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,정신병원,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종,의원,316,61,3,18,14,21,5,2,4,16,18,50,16,27,11,12,3,-,-,-,-,3,-,30,2,-,-
세종,보건지소,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
세종,한방병원,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
