충전소이름,이용가능시간,자세한 위치,주차비,등록일자
농어촌공사 광주지사,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
예천지사,24시간,지상주차장(별관 남측),없음,2018.11.22 9:07
의정부역환승공영주차장,24시간,지상주차장,의정부시 조례를 따름,2018.11.22 9:07
장흥지사,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
월영노외무료주차장,24시간,옥외주차장,0,2018.11.22 9:07
상사면사무소,24시간,(실외완전노출)주차장 오른편,무료,2018.11.22 9:07
오거리 공영주차장,06:00~22:00,지상2층 주차장,유료,2018.11.22 9:07
우아1동사무소,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
생각하는정원,06~23시,부가정보없음,부가정보없음,2018.11.22 9:07
토이파크,24시간,주차장,무료,2018.11.22 9:07
제주하귀휴먼시아1단지,24시간,주차장,0,2017.7.9 0:00
조종면사무소,24시간,지상주차장,무료,2017.9.19 16:25
열매마을6단지 아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.8.12 0:00
래미안밤섬리베뉴1 아파트,24시간,래미안밤섬리베뉴1아파트 지하주차장 1층,부가정보없음,2017.7.4 0:00
금호동 남양파크,24시간,(실내지하) 지하 2층 주차장 17,0,2018.10.29 16:32
농어촌공사 파주·고양지사,24시간,구내주차장 창고 옆,0,2018.11.22 9:07
증평문화회관,24시간,지상주차장 좌측,무료,2018.11.22 9:07
죽림2공원 주차장,24시간,(실외완전노출) 주차장 내부,1시간 면제(초과부터는 50% 할인),2018.11.22 9:07
탐라교육원,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
아산풍기이지더원1차,24시간,지하주차장 (B2 08),부가정보없음,2018.10.29 16:32
첫마을2단지아파트,24시간,지하주차장,해당없음,2018.11.12 9:32
삼창골든빌리지 입주자대표회의,24시간,2번째 초소 우측 102동 지하,부가정보없음,2018.11.12 9:32
광교자연앤자이2단지,24시간,지하2층 주차장,0,2017.8.12 0:00
관악동부센트레빌 아파트,24시간,제1주차장 지하3층 변전실 옆,관리사무소,2017.8.12 0:00
범어쌍용예가,24시간,101동 앞 지하 1층 주차장,부가정보없음,2017.4.12 19:06
김제전력지사,06시 ~ 23시,본관앞 주차장,부가정보없음,2016.11.10 0:00
봉선동제일풍경채엘리트파크,24시간,(실내지하)101동 지하주차장A65,무,2017.8.12 0:00
남산타운 아파트,24시간,1동21동31동 지하3층주차장,없음,2017.7.4 0:00
신창비바패밀리아파트,24시간,지하주차장,무료,2017.10.31 7:43
나주삼성아파트,24시간,"지상 104동 3,4라인",부가정보없음,2018.10.29 16:32
운남동 행정복지센터,24시간,(실외)입구에서 직진 후 우측,무료,2017.1.16 0:00
한전본사 지하주차장,주중/주말 : 06시~23시,본사내 지하주차장,충전시 무료,2017.2.27 0:00
삼산농산물도매시장,24시간,1번 주차장 내,"충전시 1시간 면제, 1시간 초과시 50% 할인",2017.9.19 16:25
목포농협 하나로마트,06~23시,(실외완전노출)공영 주차장,0,2017.9.19 16:25
상동현대아파트,24시간,(실내지하)P4 지하주차장,0,2018.10.29 16:32
포항지사출장소,24시간,출장소 사내주차장 좌측,충전시 무료,2016.12.23 0:00
송보파인빌,24시간,(실내지하)지하주차장 진입 후 우측구,무료(입주민 우선),2017.7.9 0:00
증평괴산지사,24시간,증평괴산지사 사옥 내 주차장,충전시 무료,2017.2.27 0:00
가재마을3단지,24시간,지하1층 주차장 A-26,부가정보없음,2017.8.12 0:00
논산 농협하나로마트,24시간,지상주차장,0,2018.11.22 9:07
영무예다음2차 아파트,24시간  ※외부인 개방,"지하주차장(203동 옆, P62)",부가정보없음,2017.7.9 0:00
상계신동아 아파트,24시간,지하2층 B-32,부가정보없음,2017.7.9 0:00
목감네이처하임아파트,24시간,지하1층 출구쪽,부가정보없음,2017.10.27 11:58
송파와이즈더샵,24시간,지하2층 103동 1-2호 A46 기둥,부가정보없음,2017.8.12 0:00
도램마을1단지아파트,24시간,지하2층주차장(R21),0,2018.10.29 16:32
서제주변환소,24시간,서제주변환소,주차비 무료,2016.10.27 0:00
도성 아파트,24시간,도성 APT 지하주차장,부가정보없음,2017.7.4 0:00
한빛5단지 아파트,24시간,지하 2층 주차장 514동 입구,0,2017.4.12 19:06
모현농협 하나로마트,24시간,지상주차장,0,2017.9.19 16:25
아우룸숲,24시간  ※외부인 개방,구내주차장,없음,2017.7.9 0:00
호성유원파크맨션 아파트,24시간  ※외부인 개방,지상 주차장 중앙에 위치,0,2017.7.9 0:00
신동아파밀리에아파트(우현3차),부가정보없음,지하,부가정보없음,2018.11.12 9:32
수원아이파크시티1단지,24시간,B2F 47,부가정보없음,2017.7.9 0:00
동탄2 하우스디더레이크,24시간,B1F A11,0,2017.10.31 7:43
서초경남아너스빌201동,24시간,지하주차장/B1-A22,부가정보없음,2017.7.4 0:00
장지벽산블루밍아파트2단지,24시간,지하2층 202동 입구앞,0,2017.8.12 0:00
신안인스빌리베라,24시간,B2F D163,0,2017.10.27 11:58
용산한신 아파트,24시간,지상주차장,부가정보없음,2017.8.12 0:00
백천신나리 아파트,24시간  ※외부인 개방,108동 지하2층,부가정보없음,2017.8.12 0:00
한전본사 파빌리온주차장(공용),24시간,본사내 동측 파빌리온 주차장,충전시 무료,2017.2.27 0:00
청북이안아파트,24시간,108동 지하2층,0,2017.8.25 0:00
경산태왕귀빈타운,24시간  ※외부인 개방,101동 지상주차장,무료,2018.10.29 16:32
포항문화원,24시간,뒷편주차장,무료,2017.11.17 9:29
덕소아이파크 아파트,24시간  ※외부인 개방,113동 지하1층,0,2017.8.12 0:00
e편한세상센트레빌 3단지,24시간,지하주차장,없음,2017.7.4 0:00
장성현진에버빌1단지,24시간  ※외부인 개방,지하,무료,2018.11.12 9:32
충청북도보건환경연구원,24시간,정문 우측,0,2017.11.17 9:29
서림초교 뒤 공영주차장,24시간,하루도넛 앞 공영주차장,있음,2017.9.19 16:25
세종 새뜸마을 11단지(새롬동),24시간,지하주차장,부가정보없음,2017.12.26 17:53
중화산현대1차 아파트,24시간  ※외부인 개방,103동 뒤 지상주차장,부가정보없음,2017.8.12 0:00
양산시청,24시간,양산문화회관 건너편 주차장,"1시간 무료, 초과시 50%할인",2017.9.19 16:25
원당 래미안휴레스트 아파트,24시간,"오른쪽 P3 지하주차장, 지하 2층으로 진입",부가정보없음,2017.4.12 19:06
시외버스 공영주차장,24시간,지상주차장,0,2018.11.22 9:06
별량면사무소,24시간,(실외완전노출)면사무소 오른쪽 편,무료,2018.11.22 9:07
한라산국립공원 관음사탐방안내소,주중/주말 : 24시간,주차장 입구 왼쪽,주차비 없음,2017.2.27 0:00
궁동공영주차장,주중/주말 : 24시간,(실외완전노출)주차장 진입 우측,충전시 주차비 50%할인,2017.2.27 0:00
이순신종합운동장,06~22시,제5지하주차장,0,2018.9.11 11:39
LH수원센트럴타운1단지,24시간,"B2 108동 1,2호 앞",부가정보없음,2017.7.9 0:00
도안18단지 린풀하우스 아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.7.4 0:00
화성고려파크뷰 아파트,24시간,지하2층,부가정보없음,2017.7.4 0:00
샘터마을1단지,24시간,좌측 화성1단지 지하주차장 1층 좌측,부가정보없음,2017.11.29 16:53
풍동성원2차아파트,24시간,바로 앞 지하주차장 1층 왼쪽,부가정보없음,2017.10.27 11:58
모라삼정그린코아,24시간  ※외부인 개방,101-102동 사이 지하주차장,무료,2017.8.12 0:00
덕소두산위브 아파트,24시간  ※외부인 개방,"좌측언덕진입 후 P4주차장 지하2층108동3,4라인",0,2017.8.12 0:00
한국농어촌공사 본사,24시간,주차장 입구 제일왼쪽 대각선 끝지점,부가정보없음,2018.3.7 13:12
신내우디안1단지,24시간,지하주차장 1층 입구 오른쪽,부가정보없음,2017.7.9 0:00
브라운스톤태릉 아파트,24시간,"지하주차장 2층 102동 1,2라인",부가정보없음,2017.7.4 0:00
두산 아파트,24시간,지하1층 14동과15동 사이,부가정보없음,2017.8.25 0:00
태왕아너스스카이,24시간  ※외부인 개방,지하 1층 주차장,부가정보없음,2017.8.12 0:00
덕성공원빌리지,24시간,지하주차장 내,0,2017.8.12 0:00
마곡엠밸리2단지,06~23시,지하1층 직진 후 우측 C121기둥,0,2018.11.12 9:32
(전주거치형)송정해수욕장,24시간,송정해수욕장 전주부착형 완속충전소,특화사업 실증중,2018.8.10 15:57
강남한신휴 플러스8단지,24시간,지하1층 807동 001기둥,부가정보없음,2017.7.4 0:00
삼척오션빌,24시간,옥외 주차장,없음,2017.8.12 0:00
선운이지더원1단지,24시간  ※외부인 개방,(실내지하)지하주차장 입구,무료,2018.10.29 16:32
광주전남혁신1단지부영 아파트,24시간,주차장(27),부가정보없음,2017.7.4 0:00
남해오네뜨더테라스,24시간,B1F,0,2018.11.12 9:32
표선 해양경비단,24시간,주차장,없음,2018.2.21 16:22
덕성공원빌리지 아파트형 충전소,24시간,덕성공원빌리지 아파트 지하 1층,부가정보없음,2018.11.15 12:26
성당에덴타운,24시간,지하주차장(바로 앞),부가정보없음,2017.8.12 0:00
안동한일 아파트,24시간  ※외부인 개방,지하주차장(113동앞),무료,2017.7.9 0:00
신도림7차e-편한세상아파트,24시간,지하1층,아파트 관리비,2018.10.29 16:32
송파파인타운9단지,24시간,정면 주차장 지하1층,부가정보없음,2017.8.25 0:00
호반베르디움센트로하임,24시간,지하1층 기둥번호194,0,2018.10.29 16:32
진하공영주차장,24시간,공영주차장 출구,부가정보없음,2018.9.12 16:28
오등동 진평연립주택,24시간,주차장,없음,2017.7.9 0:00
반남국립박물관,주중/주말 : 24시간,진입 후 좌측 주차장,주차비 없음,2017.2.27 0:00
인앤인주상복합 아파트,24시간,지하주차장,부가정보없음,2017.8.12 0:00
화성 아파트,24시간  ※외부인 개방,지상주차장(아파트북측 바깥),회원카드만 결제가능,2017.8.12 0:00
분평계룡리슈빌1단지,24시간  ※외부인 개방,102동 앞(지상),부가정보없음,2017.8.25 0:00
칠곡네스빌,24시간  ※외부인 개방,101-102동 사이 지하주차장 1층,0,2018.10.29 16:32
중부발전사원 아파트,24시간,중부발전사택 APT 지상주차장 F동 옆,부가정보없음,2017.7.4 0:00
범어월드메르디앙웨스턴카운티 아파트,24시간,204동 지하1층,부가정보없음,2017.7.4 0:00
우산국제미소래아파트,24시간,(실내지하)주차장102-103동사이,무료,2018.10.29 16:32
장원썬비치 아파트,24시간,지하주차장 들어가 직진(차단바 안열림 055-648-1011),주차비 없음,2017.8.25 0:00
송도성지리벨루스,24시간,지하1층 A12 기둥,부가정보없음,2017.8.12 0:00
HAPPY700 평창시네마,24시간,해피700평창시네마 지상주차장,무료,2017.11.14 18:34
서귀포시교육지원청,24시간,서귀포시 토평사거리 서귀포교육청,없음,2018.5.29 16:28
광장힐스테이트 아파트,24시간,지하주차장 3층 A18 기둥 앞,부가정보없음,2017.7.4 0:00
대곡역그린빌,24시간  ※외부인 개방,"지하주차장(105-109동 사이, 3주차장)",0,2017.4.12 19:06
풍동성원1차아파트,24시간,"106, 109동 앞 제2 지하주차장 1층 바로 앞",부가정보없음,2017.10.27 11:58
호반베르디움,24시간,B1F A30,0,2018.10.29 16:32
칠곡부영5단지아파트,24시간  ※외부인 개방,지하1층,0,2018.10.29 16:32
광주전남지방병무청,24시간,병무청 주차장 좌측,부가정보없음,2021.11.2 14:52
보문하우스토리,24시간,B4층 101동 4번기둥,미개방,2017.7.9 0:00
오페라코오롱하늘채,24시간  ※외부인 개방,103동 지하주차장 2층,0,2018.10.29 16:32
동계면사무소,24시간,면사무소 주차장,1시간 면제,2017.9.19 16:25
화정환승공영주차장,24시간,"지하주차장 1층, 언덕넘어, 좌측 D-2 구역",부가정보없음,2017.9.19 16:25
김천한신휴플러스,24시간  ※외부인 개방,지하주차장(107동 북측),부가정보없음,2017.7.9 0:00
옥동휴먼시아8단지,24시간,지상주차장(804-805동 사이),회원카드만 결제가능,2017.8.12 0:00
원북면사무소,24시간,원북면사무소 옥외주차장,무료,2018.9.11 13:20
서커스월드공연장,24시간,주차장,무료,2018.11.22 9:06
성서동 공영주차장,24시간,지상주차장 좌측,0,2018.11.22 9:07
대전광역시청 부설주차장,주중/주말 : 24시간,시청 동편 옥외 주차장,충전시 1시간 30분 주차비 무료,2017.4.3 13:08
동의보감촌 주차장,24시간,지상주차장 입구 왼쪽편,무료,2017.11.17 9:29
구봉마을9단지아파트,24시간  ※외부인 개방,지하주차장,0,2017.12.26 14:25
거제2차현대홈타운,24시간,지하2층,무료,2018.1.30 20:18
분성마을5단지푸르지오아파트,24시간  ※외부인 개방,지하주차장(509동앞),무료,2017.10.27 11:58
중랑숲리가 아파트,24시간,"지하주차장 1층 110동 1,2라인",부가정보없음,2017.7.4 0:00
강서주민편익시설,24시간,진입로 바로 우측,1시간 무료,2018.9.11 11:09
강릉 교동2차현대아파트,24시간,203동204동사이 지하주차장,무료,2017.10.31 7:43
성당동포스코더샵,24시간,"지하2층주차장(108-102동 사이, B33)",부가정보없음,2017.8.12 0:00
태왕메트로시티,24시간,115동 지하2층,부가정보없음,2017.8.12 0:00
홈플러스 포항점,24시간,지하 1층주차장,무료,2017.9.19 16:25
자양10차현대홈타운,24시간,지하주차장,부가정보없음,2017.8.12 0:00
평광행복타운 아파트,24시간  ※외부인 개방,지하주차장(101동 앞),0,2017.7.4 0:00
공지천 공영주차장,06~23시,파출소옆주차장,없음,2017.9.19 16:25
동문6차굿모닝힐아파트,24시간,B1F A4,부가정보없음,2017.12.27 10:21
돈암일신건영휴먼빌 아파트,24시간,B1층 109동 A1번기둥,거주민전용,2017.7.4 0:00
현대전원맨션,24시간  ※외부인 개방,101동 뒷편 지상주차장,0,2018.10.29 16:32
화성그린빌 아파트,24시간,1주차장(마트주차장)B3 왼쪽,부가정보없음,2017.8.12 0:00
세종 고용복지센터,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
창원마산 야구장,24시간,지하주차장,0,2018.11.22 9:07
우아1동 공영주차장,24시간,주차면 1면(야외),무료,2018.6.4 13:57
마포한강푸르지오1차,24시간,지하5층 06번기둥,미개방,2018.11.12 9:32
e편한세상삼척교동아파트,24시간,102동 지하2층 주차장,없음,2018.11.12 9:32
가락마을3단지아파트,24시간,지하주차장,부가정보없음,2017.11.29 16:53
운양동 롯데캐슬,24시간,지하3층 블럭번호 17(307동 옆),부가정보없음,2017.7.4 0:00
천호1동 공영주차장,주중/주말 : 24시간,지하1층 주차장 좌측 바로 앞,충전시 1시간면제/초과시50%감면,2017.1.16 0:00
검암2차풍림아파트,24시간,지하1층 71번,부가정보없음,2018.1.30 20:18
사동2지구화성파크드림,24시간  ※외부인 개방,107동 지하주차장,부가정보없음,2017.8.25 0:00
침산동화타운,24시간  ※외부인 개방,101동 지하주차장,부가정보없음,2017.11.30 17:08
광교에듀타운자이1단지,24시간,지하2층 주차장,0,2017.11.30 17:08
진해시영아파트,24시간  ※외부인 개방,107동 뒤,0,2017.11.30 17:08
성복자이1차아파트,24시간,B1F 31,부가정보없음,2017.11.30 17:08
쌍용황금,24시간,지하주차장 4층,부가정보없음,2017.7.9 0:00
강변코아루아파트,24시간,102동 지하1층 주차장,없음,2017.12.26 17:53
퀸덤1차 에디슨타운,24시간,지하주차장,무료,2018.12.14 11:23
통영 충무체육관,24시간,올라가는길 오른쪽 지상주차장(빨간건물앞),주차비 없음,2018.11.22 9:07
남양우림그린빌리지아파트,24시간  ※외부인 개방,제2주차장 104동 앞 45,0,2017.8.25 0:00
원형1공영주차장,24시간,(실외완전노출)입구에서 1시방향,부가정보없음,2017.11.17 9:29
대야면주민센터,24시간,면사무소 주차장,0,2017.11.17 9:29
우정혁신LH3단지,24시간,302동/B1_5/4통로앞,무료,2017.7.4 0:00
세종고용복지센터,24시간,복지센터 주차장(1층),부가정보없음,2018.9.11 13:46
다목적체육관,주중/주말 : 24시간,(실외완전노출)진입후 우측,주차비 없음,2017.1.16 0:00
동보하이빌아파트,24시간,101동 뒤 지상주차장,무료,2017.11.30 17:08
동탄2 LH26단지(65BL),24시간,B2F C16,0,2017.12.15 13:18
도담마을우미이노스빌1차,24시간  ※외부인 개방,P1 21,부가정보없음,2017.10.31 7:43
거제농수산물종합유통센터,24시간,주차장건물 들어와 왼쪽 A04기둥,무료,2017.9.19 16:25
효자 휴먼시아 아이린 아파트,부가정보없음,지하,부가정보없음,2017.12.26 17:53
청주아름다운나날2차,24시간  ※외부인 개방,지하2층주차장,부가정보없음,2017.11.30 17:08
공릉2단지라이프 아파트,24시간,201동 관리실 사이 지상주차장,부가정보없음,2017.7.4 0:00
진주금산두산위브 아파트,24시간  ※외부인 개방,"107,108사이 지하2층주차장 109동쪽 G06기둥",무료,2017.8.12 0:00
태안성호2차 아파트,24시간,아파트 지하,부가정보없음,2017.7.9 0:00
롯데역사(주) 대구점,주중/주말 : 24시간,지상 6층 주차장,충전시 주차비 면제,2017.1.16 0:00
양평읍사무소,24시간,읍사무소 좌측뒤편 주차장,무료,2017.9.19 16:25
후곡9단지LG롯데 아파트,24시간,관리소뒤 지하주차장,부가정보없음,2017.8.12 0:00
연수삼성럭키아파트,부가정보없음,부가정보없음,부가정보없음,2017.10.31 7:43
상록수역뒤환승,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
수성구민운동장,24시간,지상주차장,주차비 없음,2017.1.16 0:00
창동주공18단지아파트,24시간,관리사무소 앞,0,2018.10.19 10:16
웅천지웰1-2차아파트,24시간,(실내지하)지하주차장114동 90기둥,부가정보없음,2018.4.24 14:18
일곡대림2차아파트,24시간,(실내지하)지하주차장내,부가정보없음,2018.11.12 9:32
영암축협 하나로마트,24시간,(실외캐노피기설)하나로마트주차장,0,2017.9.19 16:25
웅천지웰1-1차아파트,24시간,(실내지하)지하주차장(56),0원,2017.7.9 0:00
새마을금고제주연수원,24시간,주차장 입구 왼편,0,2018.10.26 9:29
혁신영무예다음1차 아파트,24시간  ※외부인 개방,지하주차장(103동 옆),부가정보없음,2017.8.12 0:00
삼척지사,주중/주말 : 06시~23시,지사주차장,충전시 무료,2017.2.27 0:00
대림 e편한세상,24시간  ※외부인 개방,입구 왼쪽 주차장,없음,2017.7.4 0:00
윤중 아파트,24시간  ※외부인 개방,정문 위편 지상주차장,부가정보없음,2017.8.12 0:00
금류강남타운1차,24시간,지상주차장(101동 서측),0,2017.7.4 0:00
천산스카이빌 아파트,부가정보없음,지상 수전설비 인근 주차장 옆,부가정보없음,2017.8.12 0:00
대동그린파크아파트,24시간  ※외부인 개방,지하주차장,무료,2018.10.29 16:32
철정휴게소,24시간,휴게소 지상주차장,0,2018.11.22 9:07
나주혁신영무예다음 아파트,24시간,지하 주차장(84),부가정보없음,2017.8.12 0:00
청송지사,24시간,지상주차장(입구 좌측),충전시 무료,2018.11.22 9:06
청라상록힐스테이트10블럭,24시간,지하 1층 A20,부가정보없음,2017.8.12 0:00
한선파라디움,24시간  ※외부인 개방,관리사무소 옆 지상주차장,주차비 없음,2017.8.12 0:00
강남데시앙파크,24시간,지하1층 510동 28번 기둥,부가정보없음,2017.7.9 0:00
마곡수명산파크3단지,24시간,지하1층  B13-14기둥,없음,2017.7.4 0:00
경주코아루그랑블아파트,24시간,지하,입주민 출입가능,2018.11.12 9:32
노은3지구 영무예다음 에코타운,24시간,지하주차장,0,2018.10.29 16:32
서포면사무소주차장,24시간,지상주차장,무료,2018.11.22 9:07
제주대학교,24시간,본관 앞,0,2018.11.22 9:07
소양강 공영주차장,24시간,지상주차장,없음,2017.10.17 19:52
휴먼빌2단지 아파트,24시간,지하1층 205동 20번기둥,없음,2017.7.4 0:00
서초포레스타5단지,24시간,지하2층 직진 우측 B2-33,부가정보없음,2017.7.4 0:00
홈플러스 익산점,24시간,지상 6층 주차장,부가정보없음,2017.9.19 16:25
서정마을휴먼시아7단지아파트,24시간,지하주차장 1층 707동 앞,부가정보없음,2017.8.12 0:00
금마면사무소 부설주차장,24시간,금마면사무소 버스정류장 옆,0,2017.11.17 9:29
경북혁신LH천년나무2단지,24시간  ※외부인 개방,지하주차장(203-204동 사이),부가정보없음,2017.8.12 0:00
폴리텍대학,24시간,지상주차장,0,2018.11.22 9:07
백현마을7단지,24시간,지상1층 주차장 주민센터 앞,0,2017.7.4 0:00
대소원면 주민자치센터,24시간,지상주차장 좌측,0,2018.11.22 9:06
회인면사무소,24시간,정문 좌측 지상주차장,무료,2018.11.22 9:07
보헤미안박이추 커피공장,24시간,공장앞 지상주차장,0,2018.11.22 9:06
이순신 종합운동장,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
스마트그리드홍보관,부가정보없음,부가정보없음,부가정보없음,2018.11.22 9:07
대성유니드 주유소,06~23시,지상주차장(우측 안쪽),부가정보없음,2018.11.22 9:07
e편한세상 세계육상선수촌2단지,24시간,205동 지하 1층 Y5-2구역,0,2017.7.9 0:00
쌍용예가아파트,24시간  ※외부인 개방,지하주차장,0,2017.11.29 16:53
한일병원,24시간,부가정보없음,부가정보없음,2018.9.4 10:02
이마트 제천점,10~22시,4층 주차장,0,2017.9.19 16:25
아름공영주차장,24시간,지상 2층 주차장,1시간무료+초과시50%할인,2017.11.29 15:39
농촌테마파크,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
동문5차 아파트,24시간,지하주차장,부가정보없음,2017.8.12 0:00
경북대학교(상주캠퍼스),24시간,지상주차장(도서관(본관)뒤 서측),0,2017.9.19 16:25
진접신창비바패밀리아파트,24시간,"4동 P5,6주차장 지하1층 A05구역",0,2018.1.30 20:18
e편한세상마포리버파크,24시간,지하주차장2층42기둥,미개방,2017.7.9 0:00
마라도 가는 여객선,24시간,주차장,부가정보없음,2018.11.22 9:06
문백면사무소,24시간,건물 뒤쪽 지상주차장,무료,2018.11.22 9:06
꿈동산 신안2차아파트,24시간,(실내지하)지하주차장,무,2018.1.30 20:18
제주해양경비안전서,부가정보없음,부가정보없음,부가정보없음,2017.2.27 0:00
서부소방서,주중/주말 : 24시간,북측 주차장,주차비 없음,2017.1.16 0:00
수원센트럴타운2단지,24시간,B2F A41,0,2017.7.4 0:00
범물인앤인 아파트,24시간,상가주차장,부가정보없음,2017.4.12 19:06
교2동주민센터,24시간,교2동주민센터 지상주차장,무료,2017.11.14 18:34
천왕연지타운1단지,06~23시,지하주차장 2층 106동 24번 기둥,부가정보없음,2017.10.31 7:43
부산교통공사 본사,09:00 ~ 20:00,1층 주차장,"1시간 무료, 이후 50% 할인",2018.9.12 17:07
한전 장흥지사,24시간,(실외완전노출)건물 주차장,0,2018.10.16 11:06
서창 서해그랑블,24시간,지하 1층 104동 22번기둥,부가정보없음,2017.10.31 7:43
우림필유1차아파트,24시간  ※외부인 개방,114동 지하1층주차장,부가정보없음,2018.1.30 20:18
세곡리엔파크1단지,24시간,지하2층 102동,무료,2018.10.29 16:32
삼호농협하나로마트,24시간,(실외캐노피기설)삼호하나로마트 주차장,0,2018.11.22 9:06
지상변압기일체형(송정KT앞 ),현재 미개방,KT송정지사 앞 지상변압기 일체형 충전소,특화사업 실증중,2017.4.20 11:34
가락마을10단지,24시간,지하주차장,부가정보없음,2017.7.4 0:00
연산자이 아파트,24시간,지하3층 101동 입구,무료,2017.8.25 0:00
서원마을금호베스트빌5단지아파트,24시간,제2주차장 B1F 58,부가정보없음,2017.8.25 0:00
고흥지사,주중/주말 : 06시~23시,"(실외완전노출)지사우측, 뒤편 주차장",충전시 무료,2016.10.27 0:00
반여동 꿈에그린 아파트,24시간,부가정보없음,부가정보없음,2017.12.27 9:23
청주전력지사,24시간,청주전력지사 내 차고주차장,0,2021.9.28 10:07
쌍용남산플래티넘 아파트,24시간,지하주차장 7층,없음,2017.7.4 0:00
해솔마을5단지삼부르네상스 아파트,24시간,지하2층 주차장 B068,0,2017.7.9 0:00
행복한마을 서해아파트,24시간,지하1층 기둥번호A47,부가정보없음,2018.11.12 9:32
대덕테크노밸리3단지 아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.7.9 0:00
휴먼시아가운5단지,부가정보없음,지하,부가정보없음,2017.12.6 17:29
현대백화점 미아점,24시간,주차장,백화점 주차규정에 따름,2021.9.16 9:50
방선문4차빌리지,24시간,주차장,없음,2017.7.9 0:00
제주하귀휴먼시아2단지,24시간,주차장,없음,2017.7.9 0:00
서귀포남원LH 아파트,24시간  ※외부인 개방,남원LH아파트 왼쪽,없음,2017.7.9 0:00
안덕생활체육관,주중/주말 : 24시간,레저파크텔 맞은편 주차장 도로쪽,없음,2017.2.27 0:00
프라임팰리스,24시간,프라임팰리스아파트 지하,부가정보없음,2017.7.4 0:00
진천광혜원코아루 아파트,24시간  ※외부인 개방,104동 지상주차장,부가정보없음,2017.7.4 0:00
도통동행정복지센터,24시간,복지 센터 주차장,부가정보없음,2017.9.19 16:25
원주시청,24시간,원주시의회 주차장,무료,2017.9.19 16:25
서울에너지공사 주차장,06~23시,테니스장 앞 지상,충전시 1시간 무료,2017.11.17 9:29
연산경동메르빌,24시간,지하2층 기둥D,무료,2017.8.25 0:00
그린애비뉴7단지,24시간,지하2층 703동 앞(전기실),부가정보없음,2017.8.12 0:00
작전동보2차 아파트,24시간,지상주차장 관리사무소 앞,부가정보없음,2017.8.12 0:00
송천케이제이라미안아파트,24시간  ※외부인 개방,지하 주차장(구역 101동1),0,2017.10.31 7:43
양산서창대동이미지타운1단지,24시간,103동 후면 주차장(입구 맞은편) 옹벽쪽 주차장 나면,무료,2017.8.12 0:00
익산금호어울림,24시간,지하주차장 104동,부가정보없음,2018.10.29 16:32
e편한세상광주역3단지,24시간  ※외부인 개방,지하1층 주차장 304동 입구앞,0,2017.8.12 0:00
해링턴플레이스,24시간,107동 지하주차장,없음,2018.10.29 16:32
율량대원칸타빌3차,24시간,지하3층주차장 C20 주차 4면,부가정보없음,2017.7.9 0:00
동도미소드림2단지 아파트,24시간  ※외부인 개방,지하 주차장,부가정보없음,2017.7.9 0:00
완도지사,주중/주말 : 06시~23시,(실외완전노출) 지상 주차장 우측,충전시 무료,2017.2.27 0:00
대전충남전력관리처,06시~23시,사옥내 주차장,부가정보없음,2017.2.27 0:00
신안비치1차아파트 제1관리사무소,부가정보없음,부가정보없음,부가정보없음,2017.10.27 11:58
홈플러스 안산고잔점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
금호스포츠센터,24시간,주차장,금호스포츠센터 주차규정에 따름,2021.9.16 9:55
문막현진에버빌 아파트,24시간,지하 1층 주차장,무료,2017.10.27 11:58
부산과학체험관,주차장 운영시간내,지하주차장,1시간 무료,2021.9.27 17:16
김포한강우남퍼스트빌,24시간,지하2층 블럭번호 D36(508동),부가정보없음,2017.8.12 0:00
위례아트리버푸르지오1단지,24시간,지하 2층 주차장,0,2017.12.27 15:49
마곡엠밸리6단지,06~23시,지하2층 610동 C226 기둥,없음,2017.8.12 0:00
익산역,24시간,익산역 서부 추자장,"1,000(기본) + 300원/초과10분",2018.6.4 13:58
대광파인밸리골드아파트,24시간  ※외부인 개방,204동 앞 B2F,0,2017.8.12 0:00
이안전주삼천아파트,24시간,지하주차장,부가정보없음,2018.3.12 11:34
현대타운,24시간  ※외부인 개방,101동 지상주차장,부가정보없음,2017.8.25 0:00
신내7단지진로아파트,24시간,713동 지하주차장 1층,부가정보없음,2017.12.26 17:53
광교마을40단지,24시간,P3 지하주차장 C56,0,2017.7.9 0:00
세종더샵레이크파크아파트(한뜰마을3단지,24시간,지하주차장,부가정보없음,2017.12.26 17:53
연희동성원아파트,1,105동 지하1층,부가정보없음,2018.10.29 16:32
주성동대원칸타빌1단지 아파트,24시간,"B2 지하주차장 802동 입구 측면 B05,06,07 기둥 주차면",부가정보없음,2017.8.12 0:00
유통단지 전자상가,06~23시,지하주차장 1층 55구역,0,2018.11.22 9:07
